2026-07-07 23:00:03 [info     ] SLOMonitor initialized         threshold_ms=200.0 violation_window=30
2026-07-07 23:00:03 [info     ] Algorithm1Controller initialized cooldown=15 weight_step=10
2026-07-07 23:00:03 [info     ] HAProxyWeightAdjuster initialized backend=servers host=localhost port=19999
2026-07-07 23:00:03 [info     ] GRUClient initialized          base_url=http://localhost:8090
2026-07-07 23:00:03 [info     ] K8sScaler initialized          deployment=test-app-warm namespace=default
2026-07-07 23:00:03 [info     ] RoutingDaemon initialized      decision_interval=15 description='Static routing to K8s cluster only' scenario=s1-k8s-only use_algorithm=False use_predictions=False
2026-07-07 23:00:03 [info     ] Starting routing daemon        interval=15 scenario=s1-k8s-only
2026-07-07 23:00:03 [info     ] Weights updated                k3s=100 knative=0
2026-07-07 23:00:03 [info     ] Initial weights applied        k3s=100 knative=0
2026-07-07 23:27:37 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:27:52 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:28:07 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:28:23 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:28:38 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:28:53 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:29:08 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:29:23 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:29:38 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:29:53 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:30:08 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:30:23 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:30:38 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:30:53 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:31:08 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
2026-07-07 23:31:23 [debug    ] Static scenario - no decision needed scenario=s1-k8s-only weights={'k3s': 100, 'knative': 0}
